시리즈,선형번호,전저항_Rt/Δ×10³,레이놀즈수_Rn,프루드수_Fn,주형계수_Cp,중앙단면계수_Cm,방형계수_Cb,수선면계수_Cw,길이폭비_L/B,폭흘수비_B/T,길이흘수비_L/T,세장비_L/∇^(1/3),부심위치_LCB/L,부면심위치_LCF/L,LCB/LCF,침수면적비_S/∇^(2/3),수선면적비_Aw/∇^(2/3),S/Aw,S/Ax,Ax/Aw
Delft,Delft-2,116.8502263,54307079.57,0.549949572,0.567367424,0.646341669,0.366713208,0.690833066,3.623188502,3.04299897,11.02535888,4.775868614,-0.023,-0.0334,0.688622759,5.421911768,4.348975172,1.246710214,14.69160399,0.084858686
Delft,Delft-2,132.8055895,59242274.06,0.599926631,0.567367424,0.646341669,0.366713208,0.690833066,3.623188502,3.04299897,11.02535888,4.775868614,-0.023,-0.0334,0.688622759,5.421911768,4.348975172,1.246710214,14.69160399,0.084858686
Delft,Delft-3,0.523971282,9870388.981,0.099954117,0.571554043,0.646673395,0.369608793,0.694780162,2.747252675,5.345080853,14.68428767,4.778993042,-0.023,-0.033199999,0.69277112,6.249375267,5.775925742,1.081969462,17.06987352,0.063384738
Delft,Delft-3,0.847272711,12342971.27,0.124993128,0.571554043,0.646673395,0.369608793,0.694780162,2.747252675,5.345080853,14.68428767,4.778993042,-0.023,-0.033199999,0.69277112,6.249375267,5.775925742,1.081969462,17.06987352,0.063384738
Delft,Delft-3,1.17057414,14805583.47,0.149931176,0.571554043,0.646673395,0.369608793,0.694780162,2.747252675,5.345080853,14.68428767,4.778993042,-0.023,-0.033199999,0.69277112,6.249375267,5.775925742,1.081969462,17.06987352,0.063384738
Delft,Delft-3,1.58306217,17268195.67,0.174869223,0.571554043,0.646673395,0.369608793,0.694780162,2.747252675,5.345080853,14.68428767,4.778993042,-0.023,-0.033199999,0.69277112,6.249375267,5.775925742,1.081969462,17.06987352,0.063384738
Delft,Delft-3,2.408038231,19740777.96,0.199908234,0.571554043,0.646673395,0.369608793,0.694780162,2.747252675,5.345080853,14.68428767,4.778993042,-0.023,-0.033199999,0.69277112,6.249375267,5.775925742,1.081969462,17.06987352,0.063384738
Delft,Delft-3,3.12153104,22233300.43,0.225149173,0.571554043,0.646673395,0.369608793,0.694780162,2.747252675,5.345080853,14.68428767,4.778993042,-0.023,-0.033199999,0.69277112,6.249375267,5.775925742,1.081969462,17.06987352,0.063384738
Delft,Delft-3,4.035693701,24675972.45,0.249885293,0.571554043,0.646673395,0.369608793,0.694780162,2.747252675,5.345080853,14.68428767,4.778993042,-0.023,-0.033199999,0.69277112,6.249375267,5.775925742,1.081969462,17.06987352,0.063384738
Delft,Delft-3,7.079186465,29641077.21,0.300165243,0.571554043,0.646673395,0.369608793,0.694780162,2.747252675,5.345080853,14.68428767,4.778993042,-0.023,-0.033199999,0.69277112,6.249375267,5.775925742,1.081969462,17.06987352,0.063384738
Delft,Delft-3,12.07363613,34626122.15,0.35064712,0.571554043,0.646673395,0.369608793,0.694780162,2.747252675,5.345080853,14.68428767,4.778993042,-0.023,-0.033199999,0.69277112,6.249375267,5.775925742,1.081969462,17.06987352,0.063384738
Delft,Delft-3,24.96109999,39581256.82,0.400826106,0.571554043,0.646673395,0.369608793,0.694780162,2.747252675,5.345080853,14.68428767,4.778993042,-0.023,-0.033199999,0.69277112,6.249375267,5.775925742,1.081969462,17.06987352,0.063384738
Delft,Delft-3,50.24550141,44336989.69,0.448985817,0.571554043,0.646673395,0.369608793,0.694780162,2.747252675,5.345080853,14.68428767,4.778993042,-0.023,-0.033199999,0.69277112,6.249375267,5.775925742,1.081969462,17.06987352,0.063384738
Delft,Delft-3,87.96028537,49322034.63,0.499467695,0.571554043,0.646673395,0.369608793,0.694780162,2.747252675,5.345080853,14.68428767,4.778993042,-0.023,-0.033199999,0.69277112,6.249375267,5.775925742,1.081969462,17.06987352,0.063384738
Delft,Delft-3,123.7464091,54307079.57,0.549949572,0.571554043,0.646673395,0.369608793,0.694780162,2.747252675,5.345080853,14.68428767,4.778993042,-0.023,-0.033199999,0.69277112,6.249375267,5.775925742,1.081969462,17.06987352,0.063384738
